p2518	t1735
p3540	a7496
p13293	t169
p2073	t19
p7027	t4
p6470	t6013
p1327	t49
p5079	t53
p10742	t984
p7873	t4928
p1812	t569
p5223	t43
p12292	a5975
p14048	t1
p3752	t5059
p7862	t1
p5060	t931
p5837	t1628
p11438	t3751
p12404	a8596
p7213	t315
p8156	a10683
p8895	a10553
p2981	c6
p14270	t19
p6708	t211
p4197	a4435
p4766	t60
p10188	a2155
p4246	t15
p1067	t129
p7036	t5151
p13772	t33
p1895	t106
p4042	t467
p6339	a9795
p13335	t232
p13906	t2491
p9713	t60
p10384	t43
p7685	t838
p3692	t33
p9112	t973
p3499	t535
p9314	t1032
p13134	t112
p3641	a6826
p12576	t33
p8651	t36
p2249	t4
p7211	a1962
p1974	a5706
p6649	t338
p9006	a13018
p1410	t931
p378	a1725
p1658	t527
p11405	t278
p3985	a6340
p2769	t2731
p5584	t1300
p2444	t4
p2929	t410
p11997	t79
p375	a1881
p10955	t106
p6003	t870
p11582	t7697
p3720	a11129
p6740	t878
p4760	a952
p3289	t103
p12660	a6880
p9435	t43
p10380	t710
p14003	a7041
p2381	a3826
p8237	t2167
p12031	t29
p5469	t302
p4091	t60
p13244	t52
p13416	c18
p9390	t177
p5917	t38
p3793	t1047
p9179	t33
p11950	t364
p9271	t4
p1063	t167
p1555	t33
p13376	t433
p13086	t62
p2587	c4
p8525	t426
p6490	a8775
p12166	a6250
p9232	a5893
p3334	t147
p12175	t518
p10601	t3120
p10078	t3058
p8626	t338
p4543	t488
p8017	t4
p7808	t53
p1910	c2
p12647	t313
p1254	a2462
p640	t46
p11161	a10240
p1408	t1
p8757	t113
p701	t539
p3339	t263
p3578	t19
p2870	t1525
p770	a2639
p10057	c16
p2004	t425
p10526	t19
p2265	t663
p6802	t43
p10958	t1790
p7962	t36
p14336	t4948
p8711	t4447
p25	a1000
p13757	t330
p14172	t1338
p14245	a4185
p14014	a6485
p14323	t8111
p8604	t1136
p12200	c17
p10748	a7657
p3910	t19
p5354	t12
p12054	t19
p6204	t282
p14173	a6154
p11829	t330
p5296	a1277
p7678	a1251
p1132	t19
p13610	a6018
p4598	t2359
p9668	t19
p254	a1327
p8342	c11
p3196	t1581
p5923	t108
p10327	t88
p7191	t166
p10596	t4655
p7742	t2049
p10887	t2187
p6639	c10
p400	c1
p10891	t4
p6570	a5446
p9028	t595
p13865	t4476
p10675	t62
p11277	t278
p2606	c4
p458	t4
p4974	t921
p11693	c17
p14073	a878
p2533	t1519
p4587	t8797
p12761	t1
p8883	a6554
p1792	t453
p4701	t3809
p49	t51
p10504	t108
p9891	a13263
p4564	t674
p801	t3254
p6039	a12160
p11829	t7941
p4810	t320
p1510	t481
p6832	t142
p5470	t212
p6079	t68
p1902	t423
p8122	t321
p14207	a361
p7786	t4392
p4964	t1251
p9728	a8354
p2415	t885
p2769	a9975
p10143	t974
p5273	a11835
p4861	t338
p2781	a1236
p12164	t141
p4836	t4277
p7902	a3119
p13378	a9282
p800	a2680
p11061	t4
p945	t2923
p13758	t778
p6647	t19
p7221	t1827
p1093	t6
p4330	t854
p3092	t149
p9109	t19
p11643	a13823
p14299	t2106
p7467	a2096
p10998	t60
p12305	t2318
p469	c1
p12618	a4530
p8417	t430
p1023	a866
p3818	c7
p7242	a2074
p929	a233
p9641	t426
p2527	t106
p1239	t1848
p9538	t1047
p4146	t416
p13630	c18
p13626	t60
p14046	t103
p3337	a10946
p7758	t51
p10475	t1064
p878	t389
p10002	a5923
p7607	t1152
p4844	a10520
p12741	t33
p10475	t495
p7912	t1627
p7551	t353
p8261	t417
p4520	c7
p1797	t830
p12202	t8047
p11765	t408
p10234	t495
p13380	a6426
p11916	a13891
p10029	a7077
p4615	t552
p8066	t1
p769	t280
p9123	c14
p3273	t103
p1609	t190
p14062	a5065
p9908	t60
p2237	a8245
p5053	t715
p4130	t2626
p8526	a5413
p12546	a7937
p5658	c9
p11975	a6719
p2816	t19
p8650	t33
p3365	t1994
p13391	t121
p7171	t919
p11951	t106
p2721	t377
p1205	c1
p13526	t617
p3076	t474
p12963	a4970
p770	a1065
p9729	a11416
p7359	a2441
p3560	a340
p13600	a7497
p7037	c10
p11526	a5779
p12312	t2266
p5491	t354
p9240	t6220
p1630	t625
p11286	t19
p6656	t3800
p5110	t8900
p9011	t60
p12753	a6393
p9633	t176
p11706	a6535
p2056	t2446
p6074	t3138
p4461	a6586
p14059	t4
p12313	c17
p13716	t1047
p2401	t454
p11984	a379
p10769	a343
p12082	t60
p2687	t548
p12509	a8611
p1010	t60
p10102	t461
p671	t81
p1574	t19
p3944	a5939
p409	t37
p1875	t221
p7343	t724
p11368	t40
p4513	a6708
p1496	a2129
p2632	a8051
p5375	t544
p3784	t19
p660	t408
p2571	t33
p7302	t263
p3049	t38
p11839	a11001
p1718	t454
p9988	a13291
p1560	c1
p13862	t474
p2214	t552
p10519	t79
p3405	a4794
p3526	a11038
p2798	t1338
p6091	t37
p7935	t221
p1864	a214
p2661	t78
p1814	t1964
p808	a908
p5280	c9
p5620	t423
p4769	t1851
p9395	a6998
p11458	c17
p7801	t192
p1848	c2
p7369	t60
p5152	t102
p14069	t51
p13207	t285
p8480	t1243
p937	t358
p7648	t1427
p805	t2078
p7588	t925
p14182	t348
p357	t221
p129	t1004
p1824	c2
p7066	t315
p10026	t435
p274	t106
p12910	t330
p2772	t894
p12695	t2779
p5666	t277
p11336	t658
p6997	t1994
p1588	t54
p12019	c17
p8003	a2414
p5892	t196
p2716	t19
p646	t590
p8193	t4414
p419	t4
p11917	t10
p8322	c11
p4795	t3719
p7509	t12
p7711	t5492
p10314	t524
p7079	t75
p11192	t47
p2581	t4146
p2698	t435
p8395	a6556
p6243	t37
p2299	t598
p1023	t1581
p6449	t225
p9396	a6060
p5734	a7480
p9258	t698
p13757	c18
p8063	c11
p13479	t2
p5077	a10628
p11933	t60
p1454	a3596
p12837	t2002
p10850	t79
p928	t36
p4851	a7186
p10565	a13327
p13962	a6700
p10125	t43
p8745	a13030
p5968	a1274
p4485	t168
p2622	a8440
p12814	t437
p3411	c7
p14273	t1023
p9899	t24
p11016	a9944
p5901	t33
p13103	t13
p14266	c19
p6315	t37
p3464	t1376
p1371	t742
p4064	t140
p10943	t1
p2197	t10
p7573	t180
p649	a330
p12052	t474
p9841	a6579
p2430	a13
p12028	c17
p5049	t206
p13025	t1
p3573	t5762
p7856	t2247
p220	a1541
p14326	t423
p13245	t90
p4253	t630
p4867	t7831
p2763	t122
p976	t3460
p11015	t819
p9770	a6643
p4401	a9538
p5183	t544
p13902	a14366
p7469	t1551
p6762	t4
p12481	a7046
p8621	t786
p8188	t836
p14061	c19
p41	a1074
p7821	t426
p11536	t53
p13320	t19
p1370	c1
p3639	a11092
p1203	a3170
p5462	t19
p317	t481
p13000	t3138
p11241	a5794
p8605	a4672
p12742	t2336
p10638	t838
p846	t59
p1663	t64
p4420	a788
p1749	t43
p9982	t550
p10399	t2165
p12562	a6383
p5198	t2294
p11431	t435
p3621	t804
p4701	t78
p8705	t19
p7396	t6374
p981	t1061
p8334	a2705
p9937	t106
p14319	t33
p9339	t221
p3256	t60
p1053	a1297
p3609	t87
p6970	a725
p289	t33
p12468	t327
p7440	t1251
p4265	t60
p327	t262
p2188	t1525
p10690	t106
p3865	t657
p8790	a11286
p7532	t43
p856	t146
p10171	t33
p1924	t2130
p4301	a9335
p453	t1028
p10736	a10271
p6811	t37
p13690	t4092
p13111	t4
p14101	t490
p3505	t364
p5355	t4288
p12843	a3799
p8549	t6847
p9868	a5547
p14291	t819
p8015	t212
p2160	a7069
p1444	t3848
p84	t1242
p2812	t3209
p7206	t817
p2010	t425
p1284	t27
p2789	t12
p11195	a7641
p5109	t270
p6973	a1165
p4836	a11588
p75	t1184
p7977	a935
p7828	t1760
p2903	t88
p398	t101
p11807	t33
p13340	t33
p3096	t5014
p4890	t1719
p8363	t1251
p2393	a6646
p12784	a788
p7036	t387
p6003	a1111
p6644	t166
p6307	t2559
p9549	t426
p13082	t60
p11225	c17
p11040	a1842
p8250	t458
p8130	a12779
p12586	a14080
p8657	a8684
p9576	t579
p8203	c11
p3954	a3830
p2637	a3143
p8799	t1027
p10842	a3652
p14279	c19
p10732	t2452
p2848	t20
p409	t698
p8388	a12475
p10613	t573
p11867	t60
p9932	t573
p976	t43
p1871	t2208
p9867	t1867
p12516	c17
p13774	t179
p2346	t736
p10289	c16
p5208	t5218
p5482	t129
p11462	t740
p13854	t2190
p884	c1
p7060	a1482
p469	t219
p5188	a2017
p318	t37
p5463	c9
p1448	t426
p11248	t506
p1318	t19
p8414	c11
p10258	t79
p13216	a3227
p2837	a246
p1031	c1
p9861	t1052
p4898	t3624
p5766	t355
p10410	t688
p1650	t486
p10715	t2
p4966	t33
p2784	t2340
p8029	t1944
p11935	t601
p11547	t53
p10121	t7348
p14253	t19
p10102	a9434
p8102	t60
p12030	t115
p6997	t221
p12300	t7305
p7116	t4
p11041	t432
p8157	c11
p11470	t33
p3949	t1034
p2729	a7436
p7164	t786
p2165	t4
p420	t166
p859	a2761
p10236	t499
p6002	c10
p14196	t51
p84	t1241
p13586	a6694
p6761	t1475
p10651	a7681
p5022	t760
p7450	t267
p8900	t417
p13122	t747
p11354	a7772
p2088	t38
p10368	t869
p2349	a5664
p193	t1
p6446	c10
p5172	a3351
p8412	t842
p6494	t263
p12089	t8020
p3633	t2612
p7636	t483
p6670	c10
p4604	t408
p9346	t2133
p8198	t19
p12709	a10106
p11706	a2403
p5207	t278
p11599	t4
p12022	a13913
p8580	t38
p8286	c11
p13674	t661
p7393	c10
p2743	c4
p11407	t2221
p5720	t4971
p3904	t144
p4549	a4792
p6011	a1980
p1204	t997
p752	t1248
p7651	a12455
p8724	t2853
p11603	a7696
p6681	c10
p14329	t507
p9932	t431
p7364	t261
p11253	c17
p6161	t1517
p2715	t33
p5278	t426
p8494	t529
p2738	t650
p1914	c2
p1440	a2068
p8134	t4
p254	a1432
p12918	a4799
p5939	t62
p2049	c2
p6562	t59
p10239	a4730
p4255	c7
p2808	t4739
p10756	t411
p9129	a1751
p7760	t6511
p10617	t381
p5001	t1413
p13937	t221
p55	t266
p2559	t15
p8462	t4
p9083	t311
p10199	t19
p460	a2076
p5726	a9971
p8449	t311
p4613	c7
p2842	a8951
p5963	t786
p14287	t586
p1607	t200
p9935	t569
p8190	t179
p9422	c14
p11214	a13668
p6352	t41
p2427	a2680
p7259	c10
p5069	t8889
p10160	t53
p10953	t2853
p12003	t451
p10209	t3222
p4245	t36
p1752	t19
p14279	a8238
p1873	t1915
p9641	c15
p9171	t3056
p1208	t827
p9222	t600
p2990	a10105
p11293	t490
p8754	t1188
p12112	t1842
p5238	t1180
p2106	t43
p6795	t579
p8115	a12773
p3352	t33
p2820	t277
p2142	t79
p9715	t587
p233	t1723
p2224	c2
p7350	t1132
p1929	a5722
p5485	c9
p9152	t327
p6170	t446
p13058	t187
p12149	t79
p10203	a2028
p10046	t278
p9448	t15
p6335	a4016
p2951	t4917
p2367	t1553
p1453	t143
p1411	t3911
p10447	c16
p1400	t115
p13716	t984
p7059	t38
p666	a1804
p10263	t650
p4878	t108
p12020	a13912
p6379	c10
p5048	a11248
p9842	c16
p7942	a9630
p9181	a6396
p9397	t605
p9887	t345
p3841	a7024
p9223	a4484
p6661	t2878
p4756	c8
p2246	t106
p11953	a4641
p3101	a4410
p532	a1125
p3578	a4991
p5331	t60
p11217	t43
p3573	t33
p6547	t3253
p6387	t4
p7816	c11
p10499	t678
p6985	a9382
p13835	a463
p13496	t128
p12601	c18
p5197	t573
p10026	t668
p8501	t423
p3809	t5170
p4124	t211
p10429	a13449
p8765	a783
p1225	a3247
p332	a1800
p3600	t60
p4315	t179
p3783	t330
p6561	t592
p3977	t43
p12584	t221
p5179	t528
p13596	t43
p7992	t4
p10203	a2027
p3382	t474
p13525	t999
p2548	a9061
p2601	t4
p5937	t43
p1583	t60
p5943	t1181
p10739	a6771
p13435	t426
p1674	t467
p10542	t81
p14000	t33
p6239	t260
p5218	t1817
p75	a1090
p4876	t1338
p9118	t612
p5396	a1432
p2758	t238
p10825	a9208
p5750	a3459
p12386	t33
p6999	t426
p2483	a8287
p10004	t19
p8614	a13008
p11205	t19
p1416	t1
p11527	a13788
p11679	c17
p14048	t57
p7416	c10
p13234	a4827
p8165	t43
p1435	t24
p3077	t5008
p9207	t4
p9692	a12730
p7171	t3993
p11017	t1491
p3077	a10153
p11239	a6124
p10526	t5211
p12828	a6687
p7715	t64
p3946	t183
p12988	t3
p8227	a317
p11569	t426
p2684	c4
p9635	t1187
p7231	a3719
p4552	t4
p11013	a684
p3981	a4239
p14346	c19
p9284	a6677
p7875	a7087
p12833	a11006
p9314	t7078
p3619	t60
p4302	t10
p7467	t661
p9061	a318
p13793	t233
p8692	t6894
p1772	c2
p3948	t358
p10392	t827
p4075	a5506
p14146	t206
p7800	t338
p10880	t43
p11538	t5582
p6246	a5215
p3468	t503
p1837	t1997
p8023	t2542
p13997	a14382
p8357	a5960
p10141	t878
p11498	t495
p6477	a2059
p1072	a2880
p11198	t252
p3946	t127
p7066	t74
p9489	t830
p1752	a7816
p13278	t1172
p611	t345
p9099	a6612
p6775	t6137
p13942	a10919
p11535	a10311
p6100	t5841
p4996	t4127
p8862	t19
p11118	a4062
p5764	t12
p10029	t10
p4925	t417
p13837	a6549
p8982	t426
p3352	a10962
p11819	t87
p721	a2558
p5139	a6652
p10589	t7492
p8264	t6735
p9503	t7174
p8174	t753
p11527	a7322
p9648	t1
p10712	a10135
p10142	c16
p433	c1
p10369	t597
p12972	t4457
p3332	t5076
p11494	a7004
p11827	t166
p5371	a1516
p13028	t79
p9593	t10
p717	t286
p6222	t338
p5981	a2908
p1336	t1247
p5633	t12
p4842	t206
p11827	t452
p10377	a13434
p12374	c17
p13224	t51
p942	t344
p8019	a8889
p918	t12
p13282	t446
p6116	c10
p9367	a7976
p4171	a7630
p2208	t128
p187	c1
p4897	a8818
p8768	t601
p6035	t19
p11395	c17
p10447	t474
p2473	a9007
p158	t1178
p10126	t2
p1143	t78
p13305	t4884
p577	t327
p12512	c17
p10446	t60
p6874	t227
p2100	a4826
p4986	c8
p6186	t426
p12061	t4
p14023	t4
p7550	c10
p1307	c1
p10866	a663
p10251	t539
p10152	t43
p12868	a13128
p11891	t3625
p8201	t565
p11768	a1050
p6589	t625
p9474	t19
p559	t19
p2785	t103
p632	t549
p1894	t90
p12268	t630
p6623	a4977
p3683	t36
p9558	t2071
p12215	a8113
p7914	t426
p2144	t840
p11874	t60
p763	t1713
p316	t33
p9340	t73
p14175	t460
p2463	t358
p8042	t6644
p12421	a3149
p8302	a3894
p6220	t3691
p11220	t801
p103	t1230
p5195	a78
p7509	t481
p2683	a1549
p5657	a11833
p8867	t102
p5500	t1
p10023	c16
p9725	t263
p5489	t2320
p3972	t330
p2304	c2
p11924	c17
p824	a2025
p12997	t4517
p11454	a5535
p12183	t163
p9287	t3641
p9903	t1027
p5561	t10
p11497	a7534
p11330	t535
p9587	t417
p7042	c10
p8632	a4711
p7287	a12319
p13305	t733
p2712	t2659
p729	t878
p10265	t19
p13520	t474
p14096	t49
p14375	a8326
p14162	t8621
p12942	a6888
p1871	t19
p1661	t432
p5411	t5322
p10458	t7448
p12264	t8067
p6540	t6045
p5649	a2890
p7429	t2924
p5095	t753
p2848	t3772
p7831	t174
p5618	t550
p2382	a2117
p5420	t2109
p8663	t6887
p7703	a7696
p718	t33
p11723	t7906
p12672	a10380
p3238	a8300
p7405	a100
p13901	a4377
p10242	t224
p968	c1
p5316	a4837
p3407	t169
p11722	c17
p8705	a495
p2486	t439
p2816	t579
p12956	t164
p11018	a7689
p5194	t1027
p6115	a1118
p9152	a9319
p3696	t19
p1088	t33
p9325	t15
p4149	t36
p11152	a7673
p4316	a4450
p12148	t36
p5654	t19
p1155	c1
p11900	t110
p9003	t2398
p12415	t179
p2518	t78
p2787	t212
p5675	a3112
p4897	c8
p11043	a7139
p1786	t233
p13103	t2612
p1173	c1
p9755	a2503
p12421	t2245
p13329	t436
p12638	t36
p8444	a7700
p3006	a5795
p4607	a7516
p11083	t1505
p10762	a5314
p6764	a11977
p10205	c16
p7026	a9092
p2645	t79
p11989	t43
p14346	t2394
p3630	a10969
p7478	a2247
p127	c1
p9632	t122
p1755	a5985
p8805	t1313
p7884	t3248
p6822	t44
p7744	a5836
p4004	t868
p8567	a2021
p2841	t590
p285	a1677
p4085	a132
p8007	c11
p13794	t354
p573	t410
p6684	t37
p14150	t2026
p13472	t2280
p2177	t19
p11492	a6385
p5258	t4
p13685	a6998
p11502	t2644
p4558	t33
p7162	t721
p3353	a7652
p9964	t1882
p1626	t33
p11059	t2283
p6276	c10
p7898	t19
p3904	t43
p6999	t1645
p10289	t499
p2672	t19
p5741	a1123
p4012	t617
p6436	t38
p2044	t2434
p6300	t2591
p10033	t1
p8782	t461
p9916	a5722
p2973	a9121
p403	a1677
p4965	t53
p1400	t822
p320	t56
p7976	t408
p1042	t60
p6758	t19
p13972	c18
p1783	t103
p9734	a7395
p5262	t513
p5542	c9
p3669	t453
p5728	a238
p614	t195
p885	t148
p4092	t360
p10678	t612
p799	t12
p10927	t74
p6910	t19
p11675	a5636
p7807	t319
p13583	a9558
p11013	t10
p12447	t4120
p6389	c10
p2822	a10001
p7758	a6421
p4545	t8780
p4518	t127
p13972	t438
p1569	a1091
p13025	c18
p13205	t354
p6139	t5093
p6485	a2119
p3412	t846
p610	t53
p12447	c17
p7966	t19
p5705	t78
p5981	a184
p3453	a6546
p4720	t106
p858	t1356
p11927	t5186
p4290	t60
p8612	t889
p3780	t426
p6987	t106
p12994	a7046
p5756	c9
p12592	t1248
p4672	a4435
p3503	t43
p2924	c5
p12657	a4474
p4104	a11278
p1592	t887
p1807	t225
p14129	t1354
p3304	t535
p2744	t483
p2000	a7684
p2228	t679
p3627	t417
p3841	t1009
p13266	t617
p1661	t19
p1171	a3179
p11272	t1
p272	t1827
p9939	t330
p7659	t36
p4733	t19
p4584	t19
p10268	t789
p6154	t33
p9103	t3992
p6836	t79
p11297	c17
p5305	t218
p3480	c7
p127	t10
p1395	c1
p1394	t10
p13897	t225
p12892	t618
p3259	t5144
p11020	a8716
p11907	t43
p1004	t4
p11801	a2231
p9084	t688
p6477	t756
p10459	t1483
p5364	c9
p12887	t106
p9984	t60
p9982	a688
p6411	t629
p12759	t7421
p6039	t2422
p13243	t643
p1642	t19
p8739	t2486
p555	t662
p5554	t155
p3343	t43
p8567	t565
p104	t1303
p7559	t4240
p13408	t2439
p13581	t33
p2999	t448
p7525	t2157
p10904	c16
p4006	t555
p11008	t972
p13644	t2186
p6928	a2743
p9261	t857
p3112	t278
p13011	t601
p4657	t5123
p6601	t13
p3997	a11004
p10611	t432
p9747	a11712
p4195	t60
p13497	t33
p8763	t36
p4952	t458
p11172	a3966
p6717	a3333
p5314	t2244
p2332	t354
p5143	t520
p9600	a13186
p2105	t222
p7208	t1276
p2623	t4486
p8201	t537
p7800	t864
p2133	t2242
p3370	c7
p1982	a407
p241	t252
p6866	t33
p4275	t5746
p1821	a7856
p10572	t649
p12764	t60
p11689	t601
p5174	c8
p10885	t412
p2333	t19
p13734	a9844
p12543	t106
p13100	t1409
p9891	a13264
p7851	a2044
p2737	t469
p10701	t527
p2186	t562
p977	t320
p2846	a2270
p1953	a8005
p12413	a8681
p2752	a9904
p12930	t52
p11593	a9121
p10257	a8391
p7936	t1
p7654	a3336
p10043	t1
p7552	t321
p9981	c16
p3615	t43
p13288	a10606
p7532	t33
p7364	a1762
p1455	t263
p7690	t19
p1012	c1
p6695	t475
p6217	t2359
p3044	t81
p8156	t6696
p8743	t474
p1038	t37
p3716	t43
p11900	t19
p8036	t367
p12997	t43
p7779	t2434
p881	t1897
p13298	c18
p5994	a9090
p11191	t2518
p3655	a11097
p5783	t2779
p237	t1739
p8562	t2733
p8644	t36
p6388	t33
p3673	a7375
p2955	t489
p2528	t3652
p11342	t7472
p5036	t720
p10679	t1315
p13668	t311
p114	t363
p4956	a11637
p3584	t4983
p6216	t221
p12522	a3230
p10440	a6579
p1781	t176
p10957	a13590
p3208	t1997
p3496	c7
p691	t3110
p7864	t426
p8908	t343
p10593	a7389
p12055	a6605
p11786	t496
p5521	t1155
p3182	a8845
p819	a2720
p13454	t1766
p5598	t12
p8836	t417
p14091	t19
p7082	t78
p2319	t4616
p5083	t893
p108	t79
p6946	t6202
p5987	c10
p1497	t4000
p13207	t79
p2491	c3
p7785	t439
p2012	t483
p2898	t869
p12776	a6105
p6276	t386
p1686	a859
p980	t106
p9083	t520
p10443	t33
p416	t1953
p7518	t1161
p7390	t2875
p7254	t785
p7665	t19
p1818	t2125
p9201	t1169
p2322	t3907
p6392	t688
p6106	t688
p10931	a1842
p6515	t1
p10585	t432
p614	t3020
p4522	t43
p8562	t743
p6734	t37
p9690	a11024
p10496	t704
p5147	t4
p4478	t1132
p246	t4
p2827	a2169
p13449	t573
p7985	a6255
p13070	t87
p13104	t53
p11830	a6998
p2334	t885
p9348	t503
p4863	t102
p8437	a5468
p4197	t106
p12574	a7496
p977	t81
p6382	t60
p11089	t2583
p13814	t1982
p2634	a8163
p9780	t327
p10088	a9398
p2290	c2
p13707	c18
p13116	t43
p6921	t2151
p4349	a7619
p48	t280
p7443	a1247
p2697	t127
p1357	t3863
p9572	t7189
p9857	t530
p13404	t630
p5967	c10
p10198	a13366
p2256	a5121
p7513	t266
p8331	a11106
p14002	a1760
p3672	a11115
p12992	a4254
p5228	a11830
p5201	t2091
p1407	a1905
p14118	t2461
p4691	t1468
p5267	a234
p7921	t52
p8094	t1832
p2228	a6795
p7793	t426
p1333	t53
p1337	c1
p4811	a5795
p1346	t171
p11136	a9733
p12071	a9417
p3021	a788
p11841	t60
p10504	t3337
p1240	a3127
p7973	t6623
p911	c1
p7774	t1824
p12735	t635
p3367	c7
p13188	t556
p1142	t1032
p3019	t4964
p14037	a14403
p9548	t2030
p13066	t3972
p8473	t219
p8360	a12056
p10901	t127
p12101	t1338
p6078	a1732
p14208	c19
p1811	t119
p9022	t2170
p2653	t60
p8221	t2227
p10981	t224
p13624	c18
p8439	t689
p8350	t2215
p89	c1
p2529	a438
p9431	t52
p6232	t3367
p13588	t115
p13247	c18
p4564	a11461
p6306	t291
p7330	t57
p7601	t2053
p11397	t4866
p3553	t110
p8713	t1932
p10581	t2832
p6078	t516
p9579	t15
p8521	a6260
p1549	a1955
p4727	a8476
p3467	a8611
p11404	t18
p12138	t20
p1336	t355
p10638	a8071
p5190	a115
p5266	t1273
p8279	a7204
p10979	t33
p5475	t1267
p12021	t442
p515	t1537
p224	t51
p1466	t1349
p3975	t857
p1169	t179
p5863	t464
p3585	a1760
p2758	t81
p11116	t157
p3869	t5034
p4763	t43
p3016	t2221
p4932	t1068
p7484	t43
p5186	t459
p7193	t688
p5478	t78
p1356	c1
p9042	t513
p11484	a9641
p6123	t1030
p1658	t194
p11451	a7479
p5133	a576
p9143	t7042
p7806	t194
p11414	t4
p6971	t3652
p6494	t3824
p9268	t1813
p2050	t87
p6211	t268
p453	c1
p6751	t1
p6058	t605
p4222	t2420
p13194	a6603
p2646	t4
p8948	a10462
p11706	t4096
p569	a2310
p14042	t2191
p5384	t2832
p6037	a12159
p3457	c7
p6502	t43
p9970	t78
p1832	c2
p4944	a4711
p11740	t426
p158	t1479
p6011	t9
p13018	t43
p4258	t2165
p7296	t778
p10496	t612
p7980	t1671
p6350	t88
p380	t878
p4826	a4835
p5243	t141
p4247	t1300
p75	t78
p11693	t92
p13850	t580
p8843	t4
p4118	a928
p13626	t2490
p4825	c8
p10178	t735
p6758	a10427
p13674	t291
p1862	t678
p360	t263
p7602	t36
p7824	t2227
p5916	c10
p8012	a3872
p13904	c18
p1673	t33
p3564	t399
p2943	t1923
p4440	a633
p3604	a7064
p1358	t1125
p1208	a1297
p12923	a7558
p292	c1
p11302	t915
p3218	a2318
p10507	t52
p8294	a3230
p2998	t864
p565	t43
p162	t12
p12398	t327
p2582	t52
p7204	t129
p7239	t8
p12500	t60
p13860	a248
p1427	t60
p11240	c17
p10169	t4
p3887	t5012
p1775	t106
p5678	t142
p6457	t19
p11419	t74
p11570	t1723
p3927	t658
p3506	t5717
p229	a1574
p3423	t644
p12019	t644
p1477	t1
p3571	a9323
p11082	t3079
p3457	t950
p13153	t40
p4044	t7691
p1085	t33
p4663	a4738
p2497	a1416
p1528	t4
p183	c1
p10160	t243
p9272	a9387
p4476	t113
p8036	t787
p10778	t49
p4457	t33
p14275	a4113
p9443	a4452
p6715	t1
p5532	t802
p2143	t559
p1581	a3170
p7045	t167
p11671	a11339
p1146	t3422
p9622	a831
p9583	a13181
p8864	t426
p2228	a833
p4296	a4826
p5006	t2873
p10024	t51
p7123	t49
p2113	t3113
p3678	t1811
p13096	a833
p6503	t36
p2694	t529
p13479	t887
p8691	t43
p4876	t128
p11066	a495
p9099	t1640
p1342	a3141
p10605	a13507
p11285	t601
p10682	t392
p7779	a680
p5687	t19
p6037	a1844
p8722	a5097
p2523	t1433
p2654	t1
p13747	t748
p12439	t425
p5868	a5182
p6451	t4285
p926	t43
p9135	t1094
p10365	a5951
p3407	c7
p257	c1
p5033	t24
p3479	t2222
p1006	t1182
p2917	t4895
p39	a1068
p7859	t385
p11673	t10
p13391	t2221
p13889	a4696
p12610	c18
p824	t1386
p7598	t1125
p8375	c11
p8148	t426
p2816	a8586
p13611	t2111
p920	t176
p12945	t60
p945	t60
p5450	a2844
p9070	c13
p1596	a3547
p1016	t86
p8020	t454
p6598	a610
p8346	t2486
p12274	t1156
p6537	a2201
p1895	a7946
p7314	a3889
p8527	t1992
p7989	a45
p10545	t60
p3031	a8889
p7264	t330
p10115	t19
p2316	a8336
p4141	t60
p6274	t1
p7937	c11
p6239	t259
p6079	t218
p4733	t367
p9636	t43
p6274	a12111
p10739	t78
p5352	c9
p11407	t53
p9144	t4
p9700	a6298
p6296	c10
p2049	a8083
p10296	t19
p3225	t5114
p3895	t51
p8633	t2683
p12314	t735
p8541	c12
p8817	t102
p4029	a7110
p13460	t580
p2273	a7794
p3179	a4476
p5365	a3261
p8762	a3689
p2655	a5074
p13977	a7819
p13402	a4433
p4844	t43
p3456	t661
p10011	a13310
p11948	t780
p3401	t759
p3113	t285
p10315	a7097
p1528	t702
p7630	a1123
p12335	t19
p5004	c8
p2819	t33
p14013	t179
p13249	t60
p5079	t3907
p5319	t19
p8983	t19
p3512	c7
p3777	t3007
p495	t319
p3233	t223
p12251	t668
p6514	t78
p7638	a3291
p5982	t38
p10987	t3968
p9128	t1805
p13797	t426
p8122	t6676
p12004	a1173
p12471	c17
p3688	t430
p12796	t446
p2506	a3841
p3865	a7935
p7504	t1338
p4702	t24
p9809	c15
p10658	t163
p12567	t392
p2675	a5411
p11107	t338
p3284	c7
p5497	t2074
p837	t1
p7606	t112
p11833	t36
p4237	a3227
p10632	t33
p7792	c11
p1588	a3423
p12509	a11190
p2199	c2
p2886	t19
p9986	t759
p2294	a8308
p5768	a11960
p14193	t417
p9347	a3628
p2386	a13
p3931	t2506
p9482	t2004
p8102	t417
p10118	t320
p3864	c7
p8301	t60
p1514	t214
p8835	a11197
p4516	t2092
p6639	t56
p12761	t618
p10864	t202
p13399	a9161
p4571	c7
p12302	a13831
p12689	t227
p5883	t735
p4661	a4569
p6461	a3577
p1347	t43
p12879	a7479
p128	t43
p3527	t483
p9319	t43
p8625	t327
p1293	t485
p11045	t442
p1117	t395
p4034	a4827
p10204	t980
p13400	a4433
p1014	t60
p11532	a4630
p4931	a11626
p11720	t149
p5738	t496
p8540	a207
p6584	t518
p6000	t1351
p9107	c13
p5619	t520
p7771	a3951
p9585	t426
p7021	t1134
p7987	a12722
p11373	a6762
p13501	a3084
p6742	a3751
p5838	t36
